pig_id_unique,context,sample,institute,age_days,weight_start_kg,date,change_CORT,change_OXT,hr_min,weight_testsubjects,testpen_space_m2,play,escape,inactivity,ears_forward,ears_backward,CORT_change,OXT_change
668,negative,post,AU,111,90.4,01.12.2021,0.24762467,NA,9.1,336.7,13.52,-0.343304873,-0.489990509,1.982866972,0.943752169,-0.904638637,0.570176873,NA
668,positive,post,AU,110,90.4,30.11.2021,NA,NA,9.233333333,336.7,13.52,-0.343304873,-0.489990509,-0.502039678,0.538287061,-0.904638637,NA,NA
679,negative,post,AU,113,72.4,03.12.2021,NA,NA,9.8,295,13.52,-0.343304873,-0.489990509,-0.502039678,0.538287061,-0.211491456,NA,NA
679,positive,post,AU,112,72.4,02.12.2021,NA,NA,9.983333333,295,13.52,-0.343304873,-0.489990509,0.884254683,0.068283432,-0.904638637,NA,NA
683,negative,post,AU,113,71.6,03.12.2021,0.012354943,-0.107655953,11.01666667,327.7,13.52,-0.343304873,-0.489990509,1.443870471,-0.154860119,0.704799276,0.028448308,-0.247886993
683,positive,post,AU,112,71.6,02.12.2021,-0.083566206,0.100709472,11.26666667,327.7,13.52,0.755307416,-0.489990509,-0.502039678,0.761430612,-0.904638637,-0.192418299,0.231892128
685,negative,post,AU,113,81.9,03.12.2021,-0.029773686,-0.033478826,11.01666667,327.7,13.52,-0.343304873,-0.489990509,1.800545415,0.404755669,0.481655724,-0.068556446,-0.077087846
685,positive,post,AU,112,81.9,02.12.2021,0.0325142,-0.149554796,11.26666667,327.7,13.52,0.349842308,-0.489990509,1.107398234,0.856740792,-0.211491456,0.074866713,-0.344362645
692,negative,post,AU,111,67.7,01.12.2021,-0.166961448,-0.046400948,9.1,336.7,13.52,-0.343304873,-0.489990509,-0.502039678,0.404755669,-0.211491456,-0.384442942,-0.10684213
692,positive,post,AU,110,67.7,30.11.2021,-0.417318063,0.02750085,9.233333333,336.7,13.52,-0.343304873,-0.489990509,-0.502039678,0.656070097,-0.904638637,-0.96091035,0.063323047
696,negative,post,WUR,61,17.39,10.11.2020,0.515767296,0.445200896,10.3,17.39,0.72,-0.343304873,-0.489990509,1.107398234,0.068283432,0.481655724,1.187598087,1.025112946
696,positive,post,WUR,61,17.39,12.11.2020,0.19403351,0.242204114,11.21666667,78.85,11.25,0.755307416,-0.489990509,-0.502039678,0.538287061,0.193973652,0.446778666,0.557695582
729,negative,post,AU,113,68.9,03.12.2021,-0.25364288,-0.27129051,10.41666667,310,13.52,-0.343304873,-0.489990509,1.577401863,0.943752169,-0.904638637,-0.584034315,-0.624669485
729,positive,post,AU,112,68.9,02.12.2021,-0.074820969,-0.023872049,10.65,310,13.52,-0.343304873,-0.489990509,1.577401863,0.761430612,-0.904638637,-0.172281648,-0.054967424
739,negative,NA,AU,NA,NA,NA,NA,NA,NA,NA,NA,-0.343304873,-0.489990509,1.289719791,NA,NA,NA,NA
739,positive,NA,AU,NA,NA,NA,NA,NA,NA,NA,NA,0.349842308,-0.489990509,0.59657261,NA,NA,NA,NA
756,negative,NA,AU,NA,NA,NA,NA,NA,NA,NA,NA,0.349842308,-0.489990509,1.800545415,NA,NA,NA,NA
756,positive,NA,AU,NA,NA,NA,NA,NA,NA,NA,NA,-0.343304873,-0.489990509,1.577401863,NA,NA,NA,NA
825,negative,post,WUR,52,14.42,05.10.2020,0.284429323,-0.015800746,11.25,14.42,0.72,-0.343304873,-0.489990509,-0.502039678,0.761430612,-0.904638637,0.654922719,-0.036382561
825,positive,post,WUR,52,14.42,08.10.2020,-0.203628958,0.006258823,9.916666667,63.44,11.25,NA,NA,NA,NA,NA,-0.468873003,0.014411474
883,negative,post,AU,113,79.8,03.12.2021,-0.117977501,-0.20670063,10.41666667,310,13.52,-0.343304873,-0.489990509,1.800545415,-0.154860119,0.193973652,-0.271653234,-0.475945789
883,positive,post,AU,112,79.8,02.12.2021,0.384120228,0.233290793,10.65,310,13.52,-0.343304873,-0.489990509,0.59657261,0.404755669,-0.211491456,0.88446951,0.537171903
949,negative,post,WUR,43,12.81,14.12.2020,-0.069846404,-0.081627057,7.333333333,12.81,0.72,-0.343304873,0.608621779,0.191107502,0.761430612,-0.904638637,-0.160827288,-0.187953244
949,positive,post,WUR,43,12.81,17.12.2020,0.107315436,-0.097405646,9.133333333,45.96,11.25,1.448454596,-0.489990509,-0.502039678,0.761430612,-0.904638637,0.247102924,-0.224284788
1185,negative,post,WUR,51,16.73,05.10.2020,0.192082663,0.095617006,7.616666667,16.73,0.72,-0.343304873,-0.489990509,-0.502039678,0.404755669,0.887120833,0.442286676,0.220166292
1185,positive,post,WUR,51,16.73,08.10.2020,-0.104036477,0.171337983,9.4,62.67,11.25,1.448454596,-0.489990509,-0.502039678,0.761430612,0.193973652,-0.239552842,0.394520285
