institute,pig_group_unique,pig_id_unique,unique_paired,date,time,location,pen_space_m2,sample,context,context2,type,violation_expectations,age_days,weight_start_kg,group_weight_kg,oxyt_pgmL,cort_ngmL,eye_IRT_max,posture_at_sampling,tail_IRT_max,tail_IRT_min,tail_IRT_average,ear_IRT_max,ear_IRT_min,ear_IRT_average,snout_IRT_max,snout_IRT_min,snout_IRT_average
AU,AU_3,626,21,30.11.2021,10:40,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,88.9,351.9,94.43,5.83,38.45,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,20,01.12.2021,09:52,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,88.9,351.9,131.794,5.192,38.65,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,20,01.12.2021,10:22,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,88.9,351.9,NA,7.91,36.7,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,23,30.11.2021,10:45,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,78.9,330,80.179,6.157,38.9,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,23,30.11.2021,11:15,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,78.9,330,99.571,7.093,38.3,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,22,01.12.2021,10:27,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,78.9,330,150.519,11.712,37.05,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,22,01.12.2021,10:57,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,78.9,330,72.909,6.166,38.3,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,635,25,30.11.2021,10:45,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,83.7,330,152.689,16.106,37.6,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,635,25,30.11.2021,11:15,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,83.7,330,170.415,13.511,37.95,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,635,24,01.12.2021,10:27,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,83.7,330,161.153,NA,36.1,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,635,24,01.12.2021,10:57,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,83.7,330,132.975,9.529,37.1,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,556,8,02.12.2021,08:46,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,79.7,309.6,80.387,4.21,37.15,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,556,8,02.12.2021,09:16,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,79.7,309.6,86.467,3.176,38.15,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,556,7,03.12.2021,08:35,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,79.7,309.6,54.625,5.122,36.75,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,556,7,03.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,79.7,309.6,58.975,3.41,38.3,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,565,11,02.12.2021,08:46,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,79.6,309.6,72.673,2.868,38.45,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,565,11,02.12.2021,09:16,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,79.6,309.6,108.853,3.472,37.3,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,565,10,03.12.2021,08:35,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,79.6,309.6,75.679,5.926,36.8,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,565,10,03.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,79.6,309.6,54.419,2.666,36.6,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,596,13,02.12.2021,08:46,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,79.6,309.6,59.145,3.034,36.4,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,596,13,02.12.2021,09:16,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,79.6,309.6,50.056,1.592,37.4,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,596,12,03.12.2021,08:35,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,79.6,309.6,67.4,3.092,36.75,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_5,596,12,03.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,79.6,309.6,141.8,4.604,36.95,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,597,15,02.12.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,79.9,295,153.962,11.896,36.95,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,597,15,02.12.2021,09:59,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,79.9,295,148.032,5.862,37.25,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,597,14,03.12.2021,09:17,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,79.9,295,92.975,5.77,36.7,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,597,14,03.12.2021,09:48,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,79.9,295,77.732,7.594,38.25,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,608,17,02.12.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,70.7,295,188.146,17.03,36.45,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,608,17,02.12.2021,09:59,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,70.7,295,123.409,3.26,40.1,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,608,16,03.12.2021,09:17,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,70.7,295,151.358,31.038,38.3,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,608,16,03.12.2021,09:48,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,70.7,295,123.392,7.092,36.55,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,679,36,02.12.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,72.4,295,NA,13.441,36.9,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,679,36,02.12.2021,09:59,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,72.4,295,NA,NA,40.1,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,679,35,03.12.2021,09:17,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,72.4,295,NA,NA,37.15,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_6,679,35,03.12.2021,09:48,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,72.4,295,NA,NA,38.8,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,729,46,02.12.2021,10:09,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,68.9,310,113.791,5.521,39.75,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,729,46,02.12.2021,10:39,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,68.9,310,107.705,4.489,37.2,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,729,45,03.12.2021,09:55,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,68.9,310,111.447,9.374,36.65,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
