institute,pig_group_unique,pig_id_unique,date,time,location,sample,context,pen_space_m2,group_weight_kg,locomotor_play,escape_events,scans_activity_coded,scans_inactive,scans_tailposture_coded,scans_tailcurled,scans_tailextended,scans_tailtucked,num_scans_tailtip_coded,scans_tailtip_right,scans_tailtip_left,scans_tailtip_center,scans_ear_coded,ear_not_coded,ear_forward,ear_backward,ear_mixed
AU,AU_7,756,03.12.2021,NA,home pen,pre,negative,13.52,310,1,0,11,9,2,2,0,0,2,1,0,1,0,NA,NA,NA,NA
AU,AU_7,883,02.12.2021,10:09,home pen,pre,positive,13.52,310,0,0,11,2,9,9,0,0,9,3,2,4,7,4,6,1,0
AU,AU_7,883,03.12.2021,09:55,home pen,pre,negative,13.52,310,0,0,11,9,2,1,1,0,2,0,1,1,5,6,3,2,0
AU,AU_8,683,02.12.2021,10:46,home pen,pre,positive,13.52,327.7,2,0,11,0,9,9,0,0,9,6,0,3,10,1,9,0,1
AU,AU_8,683,03.12.2021,10:31,home pen,pre,negative,13.52,327.7,0,0,11,6,5,5,0,0,5,2,0,3,7,4,3,4,0
AU,AU_8,685,02.12.2021,10:46,home pen,pre,positive,13.52,327.7,1,0,11,4,5,5,0,0,5,0,3,2,11,0,10,1,0
AU,AU_8,685,03.12.2021,10:31,home pen,pre,negative,13.52,327.7,0,0,11,9,2,2,0,0,2,0,1,1,10,1,6,3,1
INRAE,2209_1,213096,12.07.2022,09:45,home pen,pre,positive,6.96,357.558,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
INRAE,2209_1,213097,12.07.2022,09:45,home pen,pre,positive,6.96,357.558,0,1,4,0,1,1,0,0,1,1,0,0,3,0,2,1,0
INRAE,2209_1,213098,12.07.2022,09:45,home pen,pre,positive,6.96,357.558,1,1,5,0,3,0,2,1,1,1,0,0,1,0,0,0,1
INRAE,2209_1,213099,12.07.2022,09:45,home pen,pre,positive,6.96,357.558,0,1,5,3,4,1,2,1,2,0,0,2,0,NA,NA,NA,NA
INRAE,2209_2,213213,12.07.2022,09:45,home pen,pre,positive,6.96,368.47,3,0,9,2,8,2,4,2,7,0,1,6,7,0,0,7,0
INRAE,2209_2,213215,12.07.2022,09:45,home pen,pre,positive,6.96,368.47,0,0,11,0,0,0,0,0,1,0,0,1,1,0,0,1,0
INRAE,2209_2,213216,12.07.2022,09:45,home pen,pre,positive,6.96,368.47,2,4,7,0,4,2,2,0,5,0,0,5,6,0,1,5,0
INRAE,2209_2,213217,12.07.2022,09:45,home pen,pre,positive,6.96,368.47,3,3,4,1,1,0,1,0,1,1,0,0,1,0,0,1,0
INRAE,2209_3,213241,12.07.2022,09:45,home pen,pre,positive,6.96,352.61075,1,0,7,3,3,0,2,1,3,2,0,1,4,0,0,4,0
INRAE,2209_3,213244,12.07.2022,09:45,home pen,pre,positive,6.96,352.61075,4,1,7,0,4,2,1,1,4,3,0,1,5,0,3,2,0
INRAE,2209_3,213246,12.07.2022,09:45,home pen,pre,positive,6.96,352.61075,2,0,5,0,2,0,2,0,2,0,0,2,2,0,0,1,1
INRAE,2209_3,213249,12.07.2022,09:45,home pen,pre,positive,6.96,352.61075,1,0,6,1,0,0,0,0,1,0,0,1,1,0,1,0,0
INRAE,2209_41,213096,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213097,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213098,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213099,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213213,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213215,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213216,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213217,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213241,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,1,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213244,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_41,213246,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0
INRAE,2209_41,213249,22.07.2022,09:55,test pen,pre,negative,8.88,96.8,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_42,212956,22.07.2022,09:55,test pen,pre,negative,8.88,101.97,0,1,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_42,212957,22.07.2022,09:55,test pen,pre,negative,8.88,101.97,0,1,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_42,212958,22.07.2022,09:55,test pen,pre,negative,8.88,101.97,0,1,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_42,212960,22.07.2022,09:55,test pen,pre,negative,8.88,101.97,0,1,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_6,212956,12.07.2022,09:45,home pen,pre,positive,6.96,375.52125,2,0,4,0,2,0,2,0,2,0,0,2,2,0,0,2,0
INRAE,2209_6,212957,12.07.2022,09:45,home pen,pre,positive,6.96,375.52125,3,1,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2209_6,212958,12.07.2022,09:45,home pen,pre,positive,6.96,375.52125,0,0,9,0,7,1,6,0,7,2,1,4,5,0,2,3,0
INRAE,2209_6,212960,12.07.2022,09:45,home pen,pre,positive,6.96,375.52125,0,0,8,0,4,1,3,0,5,0,1,4,5,0,1,4,0
INRAE,2210_3,213530,02.08.2022,09:40,home pen,pre,positive,6.96,354.878,0,0,4,1,1,0,1,0,3,1,0,2,2,0,0,2,0
INRAE,2210_3,213531,02.08.2022,09:40,home pen,pre,positive,6.96,354.878,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
INRAE,2210_3,213532,02.08.2022,09:40,home pen,pre,positive,6.96,354.878,0,0,1,0,1,0,1,0,1,0,1,0,0,NA,NA,NA,NA
INRAE,2210_3,213535,02.08.2022,09:40,home pen,pre,positive,6.96,354.878,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
INRAE,2210_4,213520,02.08.2022,09:40,home pen,pre,positive,6.96,351.04,2,0,11,2,0,0,0,0,3,0,0,3,3,0,1,2,0
INRAE,2210_4,213522,02.08.2022,09:40,home pen,pre,positive,6.96,351.04,3,0,11,0,0,0,0,0,2,0,0,2,4,0,2,2,0
INRAE,2210_4,213523,02.08.2022,09:40,home pen,pre,positive,6.96,351.04,1,0,11,1,0,0,0,0,2,2,0,0,4,0,0,3,1
INRAE,2210_41,213520,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,0,4,9,4,3,0,3,0,1,0,0,1,1,0,0,1,0
INRAE,2210_41,213522,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,0,4,10,4,0,0,0,0,0,0,0,0,5,0,0,5,0
INRAE,2210_41,213523,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,1,5,10,2,0,0,0,0,0,0,0,0,4,0,0,0,4
INRAE,2210_41,213530,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,0,3,9,4,4,0,4,0,2,0,1,1,5,1,0,5,0
INRAE,2210_41,213531,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,1,3,7,1,2,0,2,0,1,0,0,1,3,0,0,3,0
INRAE,2210_41,213532,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,0,2,9,5,0,0,0,0,0,0,0,0,7,0,2,5,0
INRAE,2210_41,213535,12.08.2022,10:10,test pen,pre,negative,8.88,89.13928571,0,4,4,0,1,1,0,0,1,1,0,0,2,0,1,0,1
INRAE,2210_42,213319,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,4,8,2,4,3,1,0,4,1,0,3,4,0,1,3,0
INRAE,2210_42,213321,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,5,9,1,4,0,4,0,3,0,1,2,7,0,1,4,2
